IMDB_Rating,Director,Runtime,Genre,GoodMovie
7.6,Sebastian Schipper,138,"Crime, Drama, Romance",0
7.7,James Simone,103,"Animation, Drama, Family",0
8.1,Andrew Stanton,100,"Animation, Adventure, Comedy",1
8.1,Aniruddha Roy Chowdhury,136,"Drama, Thriller",1
7.7,Rob Reiner,138,"Drama, Thriller",0
7.9,Imtiaz Ali,138,"Comedy, Drama, Romance",0
7.9,Cameron Crowe,122,"Adventure, Comedy, Drama",0
8,Quentin Tarantino,137,"Action, Crime, Thriller",0
7.9,Henry Koster,104,"Comedy, Drama, Fantasy",0
7.8,Joss Whedon,119,"Action, Adventure, Sci-Fi",0
8.1,Rob Reiner,89,"Adventure, Drama",1
7.8,Meghna Gulzar,138,"Action, Drama, Thriller",0
7.8,Matthew Warchus,119,"Biography, Comedy, Drama",0
7.6,Deniz Gamze Ergüven,97,Drama,0
8.2,Steven Spielberg,127,"Action, Adventure",1
8.6,Christopher Nolan,169,"Adventure, Drama, Sci-Fi",1
8,David Lean,86,"Drama, Romance",0
7.6,Yann Samuell,93,"Comedy, Drama, Romance",0
7.6,Zack Snyder,117,"Action, Drama",0
7.9,Stanley Kubrick,197,"Adventure, Biography, Drama",0
8.1,George Miller,120,"Action, Adventure, Sci-Fi",1
7.6,Steven Spielberg,145,"Action, Crime, Mystery",0
7.7,Nicholas Meyer,113,"Action, Adventure, Sci-Fi",0
7.8,René Laloux,72,"Animation, Sci-Fi",0
9.2,Francis Ford Coppola,175,"Crime, Drama",1
7.7,Georges Franju,90,"Drama, Horror",0
8.2,Peter Farrelly,130,"Biography, Comedy, Drama",1
8.4,Stanley Kubrick,146,"Drama, Horror",1
8.3,Gus Van Sant,126,"Drama, Romance",1
8,Alfred Hitchcock,80,"Crime, Drama, Mystery",0
8.9,Steven Spielberg,195,"Biography, Drama, History",1
7.6,Tom McCarthy,104,Drama,0
8.3,Mel Gibson,178,"Biography, Drama, History",1
8.1,Clyde Bruckman,67,"Action, Adventure, Comedy",1
8.1,Ashutosh Gowariker,224,"Adventure, Drama, Musical",1
7.6,Marc Forster,106,"Biography, Drama, Family",0
8.6,Hayao Miyazaki,125,"Animation, Adventure, Family",1
8.1,Vishal Bhardwaj,160,"Action, Crime, Drama",1
7.9,Merian C. Cooper,100,"Adventure, Horror, Sci-Fi",0
7.8,David Fincher,129,"Action, Drama, Mystery",0
7.8,Kevin Altieri,76,"Animation, Action, Crime",0
7.7,Joel Coen,107,"Adventure, Comedy, Crime",0
8,Nikkhil Advani,186,"Comedy, Drama, Musical",0
7.8,Christopher Nolan,106,"Action, Drama, History",0
7.6,Michelangelo Antonioni,111,"Drama, Mystery, Thriller",0
7.6,Woody Allen,124,"Drama, Romance, Thriller",0
7.9,Billy Wilder,101,"Drama, Film-Noir",0
7.9,Fabián Bielinsky,114,"Crime, Drama, Thriller",0
8.7,Lana Wachowski,136,"Action, Sci-Fi",1
8.2,Martin McDonagh,115,"Comedy, Crime, Drama",1
8.4,Christopher Nolan,113,"Mystery, Thriller",1
7.7,Ang Lee,134,"Drama, Romance",0
7.6,Blake Edwards,115,"Comedy, Drama, Romance",0
8.5,Michael Curtiz,102,"Drama, Romance, War",1
7.9,Norman Jewison,110,"Crime, Drama, Mystery",0
7.7,David Fincher,157,"Crime, Drama, Mystery",0
8,William Wyler,118,"Comedy, Romance",0
8.1,Wim Wenders,145,Drama,1
7.7,Joel Coen,116,"Comedy, Drama, Thriller",0
8,James Cameron,107,"Action, Sci-Fi",0
8.1,Sidney Lumet,121,Drama,1
7.6,Andrey Zvyagintsev,127,Drama,0
7.8,Troy Duffy,108,"Action, Crime, Thriller",0
7.6,Gareth Evans,101,"Action, Thriller",0
8,Stephen Chbosky,103,"Drama, Romance",0
7.8,Alan Parker,128,"Crime, Drama, History",0
7.7,Mike Newell,127,"Biography, Crime, Drama",0
7.6,Dennis Gansel,107,"Drama, Thriller",0
8.3,Billy Wilder,125,"Comedy, Drama, Romance",1
8.1,Rajkumar Hirani,156,"Comedy, Drama, Musical",1
7.7,Kevin Smith,92,Comedy,0
7.7,Abhishek Kapoor,130,"Drama, Sport",0
8.1,Pete Docter,95,"Animation, Adventure, Comedy",1
7.7,Alex Garland,108,"Drama, Sci-Fi, Thriller",0
7.8,Roland Joffé,141,"Biography, Drama, History",0
7.8,David O. Russell,116,"Biography, Drama, Sport",0
8.1,Gillo Pontecorvo,121,"Drama, War",1
8.1,Umesh Shukla,125,"Comedy, Drama, Fantasy",1
8.2,Andrei Tarkovsky,162,"Drama, Sci-Fi",1
7.6,Alan Parker,121,"Biography, Crime, Drama",0
8,Billy Wilder,120,"Comedy, Drama, War",0
8.1,Billy Wilder,111,"Drama, Film-Noir",1
8.4,Christopher Nolan,164,"Action, Adventure",1
8,Mike Nichols,131,Drama,0
